date,UCHAMA,LCHAMA,URG1,URG2,COCDV,ANGDV,ISLDV,SNADV,EBID,EPID
1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-03-01,2.6662834000000006,2.7359732400000003,2.8088733200000005,2.92416663,3.9856668500000008,4.326928100000001,4.995672000000002,4.94153847,5.5383504000000014,6.309461400000001
1980-03-02,0.0,1.0334229799999899,0.0,1.5649998199999926,1.5624848299999987,1.9536015189999922,2.248587641000001,2.320333150000011,3.5912073699999847,4.014978199999994
1980-03-03,0.0,0.0,0.0,1.1425002500000079,2.3947174000000016,3.6736842100000016,4.894561390000002,3.8427950799999966,3.1622962650000024,3.5064574800000083
1980-03-04,0.6830089999999905,1.6718120000000043,2.08492975,2.8450000000000046,5.072757207000006,5.787999999999997,6.854503399999993,6.220256539999992,6.308384218500008,7.867219800000005
1980-03-05,1.5325321038094164,1.5916563597933862,1.1720586601773961,1.5079347812939479,2.3332806133874193,2.58215515773783,3.1833200792720766,3.6674150508827004,5.085169639999995,5.530257777280276
1980-03-06,2.6277812613783795,2.817628495882871,3.0345224250537606,3.143351883561644,3.0727089174470987,3.399274387942429,3.530429197378926,3.6654769310855464,3.5164910740823316,3.6014258092637883
1980-03-07,2.6380795885212605,2.871312354277698,3.22149936061579,2.9989126207139387,4.43477984387254,5.107803785481547,6.228417195796148,5.947985634895051,7.273805976983532,7.775758242330026
1980-03-08,2.1227502449204882,2.129053560063144,1.6644282876447463,2.373830270458184,3.950627122954355,3.8767219865373184,4.019967938515296,4.180827691894428,4.977247125051495,6.046293362228346
1980-03-09,2.2766910557669093,2.5867621959477822,2.8758979184806,2.737283597858683,3.1040695660145117,3.365776538774028,3.625960195222216,3.577877962643709,4.169394882093226,4.433279364391094
1980-03-10,2.5365497239674126,2.8578261417638813,2.9012192642828896,2.8879201561869303,3.7971179244598234,3.9646616857374326,4.595784608589276,4.622275394746174,1.605085351845187,3.3352302712463926
1980-03-11,0.0,0.0,0.0,0.0,0.0,0.8779896888698008,1.9755141353263796,2.58085030951587,2.1076667874517563,2.583735250876752
1980-03-12,0.0,0.0,0.2886153340560291,0.5300407843641612,2.7019865237100875,3.338412163656783,3.7766251868387957,4.1485926094617795,3.1676074696525642,2.881915659231345
1980-03-13,3.820177683653721,3.9324214751743733,3.6398767063034962,4.215161567363387,4.600517069502843,4.8537686519706655,5.133069240751856,4.573454854974382,6.178140532996552,7.155962114542465
1980-03-14,2.5694594552335976,2.95080691490163,3.251466881330092,2.5446281623327383,2.5128850147328765,2.782891335666302,3.5679308640870953,3.873093341180893,4.000639840447153,3.8886561771810673
1980-03-15,2.9862002228767595,2.9936955069611817,2.422188903540184,3.163706355977935,4.669256386851536,5.303205205639564,6.437445177511136,6.104559028501724,6.054300884874853,6.927794729401757
1980-03-16,4.201588491167184,4.195186141958221,3.5186098751818853,4.486566097101782,5.599592957659331,6.021594412377304,6.409653576196395,6.669823752749292,7.722001828922817,8.394523195090839
1980-03-17,1.8165739461476167,1.909558189929411,1.4303297851838874,2.047970420052109,3.57277091286332,4.1622177759042644,5.168811626013868,5.20763718602745,6.1016461814843055,6.472068812748944
1980-03-18,2.782943922655105,2.8959439387289625,3.0017393109026034,2.7973250640267904,2.499609480091814,2.5177089635852523,2.9984934743266187,3.0757353031921384,3.919911684076509,4.0715067901159685
1980-03-19,4.316221870465726,3.652698337568215,3.72170403221923,3.3903833803890437,3.635966479669981,3.4218955147455072,5.57226982580697,5.5444017243225545,4.536074761135581,4.947499333487052
1980-03-20,2.6731764367386255,3.020411048652639,2.793925561325237,3.0498276481666133,3.091536590440828,3.343130826518218,3.9823307289364074,4.210514796933107,5.416530881073687,6.9871358458840565
1980-03-21,2.6729967389869382,2.2065050732988216,0.0569497841508366,1.633485473934793,3.094860946769718,3.3891502378382063,3.9011776044377173,3.7298512318584542,4.130658069923534,4.2087482733253
1980-03-22,3.5043116800509337,2.1658008857839093,1.3639722541989308,3.2474569378023546,5.599752607943159,6.3471689455056275,7.610057165062531,7.743145350614301,7.6933557362660405,8.187399126853798
1980-03-23,2.1341001434978097,0.0,0.0,0.0,4.652034878178878,5.318862625338267,5.815813582592393,5.246913033115225,5.3297374246622535,6.051815248644269
1980-03-24,1.1745780611084482,0.625515924526856,0.0,0.03467869886976114,1.9045167016857656,2.2108385281513354,2.666729746484401,3.0232273214072864,4.562102840684556,5.4332284536601465
1980-03-25,1.2976476531745145,2.575662412613965,1.2359949302569535,3.7680391815408423,3.8852288742512586,3.9593942995383795,4.399407177185359,4.184979495404077,3.730708119835464,3.607987281069348
1980-03-26,2.273151166117844,2.2633730646732375,2.404956415592292,2.489115219191072,3.6289549668317407,4.1643531619295855,5.11806515551527,5.468267403324078,6.850089925567319,7.69314813343105
1980-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3112765428067206,4.3041643840781125,4.492619912361016
1980-03-28,0.0,0.0,0.0,0.0,0.002960840984620464,0.8876857734690846,2.3700282389566905,3.758100319214174,4.922511245016107,5.77050881527628
1980-03-29,3.5277312373192253,2.016789552129902,0.0,0.7624456055208954,3.360648105801205,3.0050161675519074,2.504971592686117,2.8281530237046772,5.251794626417387,6.29875357164826
1980-03-30,1.523715518842324,1.753455778040249,1.746817543608646,2.4336190246614473,3.9556766732493513,3.580973304984582,4.3270116953018105,4.431672847375666,4.139736364897142,4.591143592872198
1980-03-31,2.369645023566953,2.7057365297086347,1.7541287243906831,3.5546007399820545,4.649500420822322,4.878519850835277,5.440030972394608,5.54988038011081,6.135544108514994,6.164745523972924
1980-04-01,1.8104730278311534,1.9906204492822677,1.8780388514339457,2.0139520498179264,2.514304252951043,2.4831056131750735,3.667153475869883,4.4845328538587435,7.237190793660477,9.17714135982794
1980-04-02,0.0,0.0,0.0,0.0,2.310694691862786,3.9341671118797934,4.833123607981863,4.776708910439748,5.4818606679524695,5.683010107782301
1980-04-03,1.3961877932478428,1.304787548714302,0.0,1.2966653411162135,2.3722209380596495,2.861204281007297,4.368313698979981,4.01256612819633,4.4804246697659895,5.377462238007825
1980-04-04,3.1989472364217972,3.4255002744283045,3.833203305018296,3.498734580948053,3.392200705713088,3.03088870912152,2.800832793894029,2.978314264458177,3.0981191047124366,3.29444532025802
1980-04-05,3.915445146158738,3.938732773930926,4.108509104267697,4.009725360564904,4.332478776905693,4.631038077497092,5.883323751621824,5.802631594056689,6.002450115463635,7.626741319409809
