date,willow_creek,azotea_tunnel,rio_chama_puente,abiquiu_reach_sideflows,chamita_reach_sideflows,rio_ojo_caliente,lobatos_gauge,rio_pueblo_taos,rio_nambe,rio_jemez,rio_puerco
1975-01-01,1.42064516129032,0.69,41.0,13.0,13.0,13.0,145.0,18.0,1.886428571428572,19.0,0.0
1975-01-02,1.42064516129032,0.69,41.0,13.0,13.0,13.0,150.0,20.0,1.886190476190476,27.0,0.0
1975-01-03,1.42064516129032,0.69,40.0,13.0,13.0,13.0,150.0,18.0,1.9273809523809524,22.0,0.0
1975-01-04,1.42064516129032,0.69,38.0,13.0,13.0,13.0,150.0,17.0,1.9697619047619048,27.0,0.0
1975-01-05,1.42064516129032,0.69,39.0,13.0,13.0,13.0,155.0,18.0,1.9504761904761905,27.0,0.0
1975-01-06,1.42064516129032,0.69,39.0,14.0,14.0,14.0,155.0,20.0,1.9630952380952384,27.0,0.0
1975-01-07,1.42064516129032,0.69,40.0,15.0,15.0,15.0,160.0,22.0,1.9885714285714284,27.0,0.0
1975-01-08,1.42064516129032,0.69,40.0,15.0,15.0,15.0,165.0,23.0,1.967857142857143,27.0,0.0
1975-01-09,1.42064516129032,0.69,42.0,15.0,15.0,15.0,170.0,25.0,1.9023809523809525,27.0,0.0
1975-01-10,1.42064516129032,0.69,40.0,13.0,13.0,13.0,170.0,23.0,1.819761904761905,24.0,0.0
1975-01-11,1.42064516129032,0.69,35.0,13.0,13.0,13.0,175.0,20.0,1.7645238095238096,24.0,0.0
1975-01-12,1.42064516129032,0.69,35.0,13.0,13.0,13.0,175.0,15.0,1.783095238095238,22.0,0.0
1975-01-13,1.42064516129032,0.69,35.0,15.0,15.0,15.0,175.0,18.0,1.8278571428571428,27.0,0.0
1975-01-14,1.42064516129032,0.69,38.0,15.0,15.0,15.0,170.0,20.0,1.830952380952381,27.0,0.0
1975-01-15,1.42064516129032,0.69,40.0,15.0,15.0,15.0,170.0,25.0,1.852857142857143,27.0,0.0
1975-01-16,1.42064516129032,0.69,42.0,15.0,15.0,15.0,170.0,30.0,1.8711904761904763,27.0,0.0
1975-01-17,1.42064516129032,0.69,44.0,15.0,15.0,15.0,175.0,35.0,1.9119047619047616,26.0,0.0
1975-01-18,1.42064516129032,0.69,45.0,15.0,15.0,15.0,175.0,40.0,2.011190476190476,27.0,0.0
1975-01-19,1.42064516129032,0.69,45.0,15.0,15.0,15.0,175.0,38.0,2.1185714285714288,26.0,0.0
1975-01-20,1.42064516129032,0.69,45.0,15.0,15.0,15.0,175.0,35.0,2.137380952380952,25.0,0.0
1975-01-21,1.42064516129032,0.69,45.0,14.0,14.0,14.0,175.0,33.0,2.0916666666666663,25.0,0.0
1975-01-22,1.42064516129032,0.69,42.0,15.0,15.0,15.0,175.0,30.0,2.056666666666666,25.0,0.0
1975-01-23,1.42064516129032,0.69,40.0,14.0,14.0,14.0,175.0,25.0,2.136904761904762,23.0,0.0
1975-01-24,1.42064516129032,0.69,42.0,15.0,15.0,15.0,180.0,28.0,2.0814285714285714,27.0,0.0
1975-01-25,1.42064516129032,0.69,45.0,15.0,15.0,15.0,185.0,30.0,1.944761904761905,26.0,0.0
1975-01-26,1.42064516129032,0.69,48.0,16.0,16.0,16.0,185.0,35.0,1.9602380952380951,26.0,0.0
1975-01-27,1.42064516129032,0.69,50.0,15.0,15.0,15.0,175.0,38.0,2.0045238095238096,26.0,0.0
1975-01-28,1.42064516129032,0.69,55.0,16.0,16.0,16.0,170.0,40.0,2.1085714285714285,26.0,0.0
1975-01-29,1.42064516129032,0.69,50.0,17.0,17.0,17.0,165.0,34.0,2.132142857142857,25.0,3.0
1975-01-30,1.42064516129032,0.69,50.0,19.0,19.0,19.0,180.0,44.0,2.1566666666666667,24.0,3.5
1975-01-31,1.42064516129032,0.69,55.0,20.0,20.0,20.0,210.0,48.0,2.229047619047619,31.0,8.0
1975-02-01,0.954642857142857,0.84,50.0,19.0,19.0,19.0,220.0,36.0,2.3309523809523807,29.0,12.0
1975-02-02,0.954642857142857,0.84,45.0,17.0,17.0,17.0,225.0,31.0,2.3795238095238096,25.0,11.0
1975-02-03,0.954642857142857,0.84,43.0,17.0,17.0,17.0,240.0,27.0,2.3914285714285715,27.0,11.0
1975-02-04,0.954642857142857,0.84,45.0,17.0,17.0,17.0,245.0,28.0,2.43,29.0,10.0
1975-02-05,0.954642857142857,0.84,50.0,19.0,19.0,19.0,245.0,28.0,2.413333333333333,30.0,10.0
1975-02-06,0.954642857142857,0.84,48.0,18.0,18.0,18.0,235.0,25.0,2.4916666666666667,22.0,7.6
1975-02-07,0.954642857142857,0.84,50.0,19.0,19.0,19.0,235.0,28.0,2.5559523809523808,25.0,5.3
1975-02-08,0.954642857142857,0.84,52.0,20.0,20.0,20.0,235.0,32.0,2.57,31.0,3.8
1975-02-09,0.954642857142857,0.84,54.0,21.0,21.0,21.0,235.0,33.0,2.5392857142857146,29.0,2.7
1975-02-10,0.954642857142857,0.84,55.0,22.0,22.0,22.0,235.0,34.0,2.5559523809523808,30.0,1.9
1975-02-11,0.954642857142857,0.84,53.0,21.0,21.0,21.0,235.0,31.0,2.573095238095238,27.0,0.8
1975-02-12,0.954642857142857,0.84,50.0,19.0,19.0,19.0,240.0,28.0,2.5757142857142856,24.0,0.0
1975-02-13,0.954642857142857,0.84,50.0,20.0,20.0,20.0,245.0,30.0,2.578333333333333,28.0,0.0
1975-02-14,0.954642857142857,0.84,52.0,21.0,21.0,21.0,250.0,31.0,2.5795238095238098,32.0,0.0
1975-02-15,0.954642857142857,0.84,50.0,21.0,21.0,21.0,250.0,28.0,2.6347619047619046,33.0,0.0
1975-02-16,0.954642857142857,0.84,50.0,21.0,21.0,21.0,255.0,28.0,2.662619047619048,32.0,0.0
1975-02-17,0.954642857142857,0.84,48.0,20.0,20.0,20.0,255.0,28.0,2.721904761904762,33.0,0.0
1975-02-18,0.954642857142857,0.84,48.0,20.0,20.0,20.0,250.0,27.0,2.785952380952381,33.0,0.0
1975-02-19,0.954642857142857,0.84,45.0,19.0,19.0,19.0,260.0,26.0,2.836904761904762,28.0,0.0
1975-02-20,0.954642857142857,0.84,48.0,19.0,19.0,19.0,260.0,27.0,2.867380952380952,30.0,0.0
1975-02-21,0.954642857142857,0.84,50.0,21.0,21.0,21.0,255.0,27.0,2.8695238095238094,36.0,0.0
1975-02-22,0.954642857142857,0.84,50.0,19.0,19.0,19.0,220.0,23.0,2.9385714285714286,33.0,0.0
1975-02-23,0.954642857142857,0.84,45.0,18.0,18.0,18.0,210.0,23.0,2.9185714285714286,24.0,1.0
1975-02-24,0.954642857142857,0.84,48.0,20.0,20.0,20.0,255.0,26.0,2.998333333333333,30.0,0.5
1975-02-25,0.954642857142857,0.84,50.0,21.0,21.0,21.0,265.0,32.0,3.00547619047619,33.0,0.2
1975-02-26,0.954642857142857,0.84,52.0,23.0,23.0,23.0,260.0,35.0,3.040238095238095,34.0,0.1
1975-02-27,0.954642857142857,0.84,54.0,21.0,21.0,21.0,260.0,36.0,3.0942857142857143,32.0,0.0
1975-02-28,0.954642857142857,0.84,56.0,23.0,23.0,23.0,270.0,40.0,3.0985714285714283,35.0,0.0
1975-03-01,18.2561290322581,0.84,58.0,26.0,26.0,26.0,280.0,41.0,2.961190476190476,37.0,0.0
1975-03-02,18.2561290322581,0.84,62.0,37.0,37.0,37.0,300.0,43.0,2.9369047619047617,42.0,327.0
1975-03-03,18.2561290322581,0.84,65.0,46.0,46.0,46.0,315.0,41.0,2.833333333333333,47.0,562.0
1975-03-04,18.2561290322581,0.84,65.0,40.0,40.0,40.0,300.0,36.0,3.0490476190476192,44.0,614.0
